name,tier,rarity,type,range,hand-to-hand,weapon_type,piercing-damage,impact-damage,energy-damage,accuracy,weight,slug,desc
X45 Hand Cannon: Limited Edition,4,common,Weapon,Short,No,Handgun,0,2.56,16.26,0.47,0.74 kg,x45-hand-cannon-limited-edition,A sleek looking blaster marketed towards professional peacekeepers. The limited edition is a slight improvement over the original design and comes in a dashing mustard color.
Cadet's Epee,2,common,Weapon,Short,Yes,Blade,8.49,0,0,0.167,1.40 kg,scabbard,A blunt sided sword that seems a little dull.
Ruby Redemption,4,rare,Weapon,Long,No,Sniper Rifle,4.02,17.67,0.63,0.64,7.66 kg,ruby-redemption,"Part of a campaign to target image conscious assassins, this rifle is polished to a bright, red sheen and promises, 'redemption in red, from afar.'"
G-4E,1,rare,Weapon,Long,No,Shotgun,0,0,5.42,0.021,3.00 kg,g-4e,"Modified to discharge an energy spray, this shotgun is standard issue for the lowest ranks of the Gaule Protectorate."
Jaded Sinicism Series Semi-Automatic,3,uncommon,Weapon,Short,No,Short Barrel Rifle,5.28,5.28,5.25,0.23,3.57 kg,jaded-sinicism-series-semi-automatic,"Marketed towards rich and flashy freebooters by Ajax Arms and Armors, a hologramatic tagline trying very hard to sound obscure reads: Death drifts like a single emerald leaf, falling gently through the moistened air of a bio-dome."
Crude Charge Maul,1,rare,Weapon,Short,Yes,Club,0,0,4.85,0.042,1.45 kg,crude-charge-maul,This maul may be used to club or shock.
StealthSMGC1,3,common,Weapon,Short,No,Short Barrel Rifle,0,11.29,0,0.19,2.40 kg,stealthsmgc1,Quiet and ferocious. Consortium had these made for some purpose.
Silenced Song of Dotsent,3,common,Weapon,Long,No,Rifle,0,12.2,0,0.24,3.50 kg,silenced-song-of-dotsent,"Professionally stylish, this automatic weapon is fully outfitted with a silencer, hairline sight cradle, and a semi-automatic toggle. Some would say that this is the weapon for all occasions, and they wouldn’t be wrong. A favorite of the citizen Dotsent."
F.O.T.S Line Combat Staff,5,uncommon,Weapon,Short,Yes,Club,0,5.07,22,0.68,2.31 kg,fots-line-combat-staff,The Fried on the Side line of weaponry by HWT is a sleek and high quality range of melee weapons infused with energy based nanotech to add just a little sizzle to your slice (or smash).
The Silent One,3,rare,Weapon,Short,No,Handgun,0,0,10.08,0.234,1.19 kg,handgun-reclaim,"Hearing safe with subsonic ammunition, this weapon is silently deadly"
Breakfast Knife,2,uncommon,Weapon,Short,Yes,Blade,9.63,0,0,0.055,0.10 kg,breakfast-knife,"A simple knife used for cutting food or flesh, depending on the context."
Jack-Said-No,2,common,Weapon,Short,Yes,Club,0,7.35,0,0.091,1.90 kg,jack-said-no,A hand-club similar to a blackjack. Many pirates distribute this weapon to their crew for protection when station-docked as it is small and difficult to detect in high-security zones. This particular Jack-Said-No features the emblem of Red Jane with the name ‘Rowdy Roddy’ etched in the handle.
Paris Sabre,2,uncommon,Weapon,Short,Yes,Blade,9.22,0,0,0.11,1.40 kg,paris-sabre,This specialty blade is custom crafted for the officers stationed on  Paris Spatiale of the Alpha Centauri system.
Athens-500,2,epic,Weapon,Short,No,Handgun,4,4,4,0.246,1.70 kg,athens-500,"Marketed as ""gentleman's handgun,"" this aesthetically striking handgun will look charming in the holster of the modern explorer."
The Burke & Hare,5,epic,Weapon,Long,No,Shotgun,20.33,9.73,0,0.65,9.32 kg,the-burke-hare,This hefty shotgun is the perfect weapon of mass slaughter.
Short Circuit Series Baton,1,epic,Weapon,Short,Yes,Club,0,0.6,4.8,0.23,7.26 kg,short-circuit-series-baton,"This energy baton, while a jury-rigged job, has been expertly crafted by an engineer of great skill and sold on the black market."
Rusty Iron Pole,1,common,Weapon,Short,Yes,Club,0,2.21,0,0.066,1.80 kg,rusty-iron-pole,It’s an iron pole. It’s rusted. It could cause some pain.
F.O.T.S Line Sniper Rifle,5,common,Weapon,Long,No,Sniper Rifle,0.28,24.39,1.18,0.24,2.03 kg,fots-line-sniper-rifle,The Fried on the Side Sniper Rifle by HWT is a sleek and high quality experimental long range rifle infused with energy based nanotech to add just a little sizzle to your snipe.
Carnelian Rifle,3,epic,Weapon,Long,No,Rifle,0,21.75,0,0.67,4.20 kg,carnelian-rifle,"Each part of this rifle is selected to maximise damage output. Its matte body and red highlights may not scare opponents, but its power is sure to send them flying."
Biohazard,1,rare,Weapon,Short,No,Short Barrel Rifle,0,0,4.5,0.052,2.40 kg,biohazard,"With the iconic corporate emblem of the House of Spartacus of three broken chain links etched into the body, this short barrel rifle is able to deal energy damage in quick succession."
HWT Fire Delivery System,1,epic,Weapon,Long,No,Rifle,1.39,0,7,0.39,1.70 kg,hwt-fire-delivery-system,"Hephaestus Weapon Tech's answer to the question, ""How do i burn my enemies to a crisp?"""
F.O.T.S Line Combat Axe,5,rare,Weapon,Short,Yes,Blade,1.74,25.19,1.45,0.45,1.90 kg,fots-line-combat-axe,The Fried on the Side line of weaponry by HWT is a sleek and high quality range of melee weapons infused with energy based nanotech to add just a little sizzle to your slice (or smash).
Iron Baton,1,common,Weapon,Short,Yes,Club,0,2.99,0,0.009,1.00 kg,iron-baton,A simple baton used by prison guards.
Ice Breaker’s Club,3,common,Weapon,Short,Yes,Club,0,0,12.38,0.127,2.72 kg,ice-breakers-club,A heavy-headed club that features a heating element on the end. Activates on impact.
Serval’s Grace,1,epic,Weapon,Short,No,Short Barrel Rifle,0,0,9.88,0.47,1.44 kg,servals-grace,"In addition to being very powerful for its size, this gun is nearly silent. Perfect for covert missions, where stealth is just as important as firing power."
Caracal's Swipe,3,epic,Weapon,Short,No,Handgun,0,17.63,0,0.42,0.50 kg,caracals-swipe,"A sleek hand cannon of complex and lethal design. Allegedly developed for combat by the secretive Caracals of the House of Congo. These guns are rare and, usually, one only gets a single look at them."
Thin Steel Pole,1,common,Weapon,Short,Yes,Club,0,1.61,0,0.07,3.00 kg,thin-steel-pole,"Lithe, graceful, and to the point."
Homemade Machete,2,uncommon,Weapon,Short,Yes,Blade,9.77,0,0,0.157,0.90 kg,homemade-machete,"A broad blade for hacking at overgrowth, the handle of this machete shows deep grooves from which finger nails have gripped for who knows how long."
Ear Piercer,1,uncommon,Weapon,Long,No,Sniper Rifle,0,0,4.19,0.162,11.50 kg,ear-piercer,The Ear Piercer utilizes an electric charge bullet type to add to its already deadly promises.
Damaged Stun Baton,2,common,Weapon,Short,Yes,Club,0,0,5.74,0.051,1.11 kg,damaged-stun-baton,An average stun baton that may or may not function properly.
Strange Rod,1,common,Weapon,Short,Yes,Club,0,0.24,0,0.5,1.30 kg,strange-rod,Who knows what this piece of salvage was? You know what it is now? A weapon. Features weird little stick figures etched all around the circumference.
F.O.T.S. Line Com-Bat,5,common,Weapon,Short,Yes,Club,0,22.38,2.2,0.43,3.55 kg,fots-line-com-bat,The Fried on the Side line of weaponry by HWT is a sleek and high quality range of melee weapons infused with energy based nanotech to add just a little sizzle to your slice (or smash).
Wheel Brace Mace,1,common,Weapon,Short,Yes,Club,0,1.52,0,0.5,2.40 kg,wheel-brace-mace,"Once used to situate shuttles in position for repairs, this wheel brace features a long adjustment rod perfect for holding."
OfficerC1,1,common,Weapon,Short,No,Short Barrel Rifle,0,2.19,0,0.051,2.00 kg,officerc1,"A Consortium officer standard, the OfficerC1 is the short barrel riffle of choice of brig guards in most every Consortium controlled station."
Rusty Steel Pole,1,common,Weapon,Short,Yes,Club,0,0,2.88,0.048,3.00 kg,rusty-steel-pole,"A simple, nasty, rusted steel pole. Damages energy on impact."
Jaded Sinicism Series Short Barrel Rifle,3,uncommon,Weapon,Short,No,Short Barrel Rifle,0,0,14.96,0.61,3.93 kg,jaded-sinicism-series-short-barrel-rifle,"Marketed towards rich and flashy freebooters by Ajax Arms and Armors, a hologramatic tagline trying very hard to sound obscure reads: Death drifts like a single emerald leaf, falling gently through the moistened air of a bio-dome."
Little Sputter,1,common,Weapon,Short,No,Short Barrel Rifle,0,0.36,0,0.088,2.30 kg,little-sputter,This strange short barrel rifle seems to have been carefully crafted from a number of scavenged parts. Most of the pieces are a patchwork of an array of pre-Catastrophe guns.
Boomer,1,common,Weapon,Short,No,Handgun,0,2.25,0,0.08,3.50 kg,boomer,"A simple, reliable hand cannon with a rotating cylinder for ammunition."
Ice Miner’s Pick,2,rare,Weapon,Short,Yes,Blade,10.74,0,0,0.17,0.98 kg,ice-miners-pick,"The sharp, stick-like pick is used to break apart chucks of ice while mining."
Snub Laser,1,common,Weapon,Short,No,Handgun,0,0,0.8,0.06,0.90 kg,snub-laser,A handheld laser weapon designed for personal defense.
Sleek Skin-Slicer,4,epic,Weapon,Short,Yes,Blade,12,0,12,0.124,1.50 kg,sleek-skin-slicer,"The lovechild of a wrench, an old knife, and a heck of a lot of tape. Skin-Slicers are common among ruin rats in this area, but this one appears particularly well made."
TacticC11,1,epic,Weapon,Long,No,Shotgun,0,5.72,0,0.002,3.10 kg,tacticc11,Basic entry-level tactical shotgun for trainee Consortium security forces.
Deadly Handcrafted Sniper Gun,1,epic,Weapon,Long,No,Sniper Rifle,3.02,2.56,0.5,0.06,6.72 kg,deadly-handcrafted-sniper-gun,Someone with a talent for cobbling together effective weaponry has crafted this gun by hand. More worrying is the reason they would require a homemade sniper gun.
Officer's Spark Nightstick,1,rare,Weapon,Short,Yes,Club,0,0,4.42,0.077,0.51 kg,officers-spark-nightstick,Consortium security equips these stun-sticks when on duty.
"Remember Me, Sally",2,common,Weapon,Short,No,Short Barrel Rifle,0,7.5,0,0.098,2.60 kg,remember-me-sally,"A legendary gunsmith working for the House of Spartacus crafted this short Barrel Rifle at her retirement. Now mass-produced, the quality is lacking."
Truncheon,2,uncommon,Weapon,Short,Yes,Club,0,0,9.14,0.074,3.22 kg,truncheon,"Carried by the Gaule Protectorate personnel, the truncheon is a short, thick stick-baton that acts as a symbol of authority."
Osmium Club,3,rare,Weapon,Short,Yes,Club,0,0,11.24,0.105,3.10 kg,osmium-club,This charge club features a blueish white shimmer. Shocks on strike.
BasicC99,1,common,Weapon,Short,No,Handgun,0,0,1.9,0.066,0.63 kg,basicc99,"What this Consortium recruit weapon lacks in flair, it makes up for in efficiency."
X35 Bumblebee,5,rare,Weapon,Long,No,Rifle,5.7,21.59,1.55,0.64,5.66 kg,x35-bumblebee,A sleek and deadly design so branded due to the almost buzzing sound that accompanies its rapid fire projectiles.
GX65 Rifle: Chrome Edition,4,uncommon,Weapon,Long,No,Rifle,0,0.75,21.27,0.26,2.51 kg,gx65-rifle-chrome-edition,The GX65 line is the Yasutsuna Corps foray into situational strategy firearms. Each type of weapon designed to appeal to a specific type of combatant.
Wreck Runners Shock Lance,4,epic,Weapon,Short,Yes,Club,0,12.43,11.08,0.39,4.92 kg,wreck-runners-shock-lance,"Originally crafted from any number of scavenged ship parts on Kobenhavn, the Wreck Runners Shock Lance has since evolved and spread throughout the galaxy as an effective foe frying device."
